number,name,lng,lat,region
8950,M & O Pacific Limited,174.0308645,-39.076206,Taranaki Region
8952,South Pacific Islands Institute (SPI),175.2666611,-37.7862466,Waikato Region
8960,PEETO - The Multi Cultural Learning Cent,172.5924374,-43.5330831,Canterbury Region
8963,Language Studies International (NZ) Ltd,174.7608235,-36.8563341,Auckland Region
8964,Write Limited,174.7758543,-41.2859363,Wellington Region
8966,Christchurch College of English,172.5661343,-43.5220568,Canterbury Region
8972,NZ Training Centre,175.2943243,-37.7887696,Waikato Region
8974,Servilles Academy of Hairdressing,174.7655833,-36.846778,Auckland Region
8979,Carey Baptist College,174.8085603,-36.9045607,Auckland Region
9043,Institute of Professional Legal Studies,174.7648236,-36.8574624,Auckland Region
9130,Skills4Work Limited,174.8770707,-36.9903711,Auckland Region
9131,High Wire Charitable Trust,174.9656238,-37.067512,Auckland Region
9133,Kalandra Education Group Limited,174.9214961,-37.0661552,Auckland Region
9135,Aotearoa Career and Management Institute,174.7580051,-36.8574319,Auckland Region
9140,Transformation Academy,174.7689953,-36.7965391,Auckland Region
9152,Safety Hub Limited,174.8467503,-41.1090222,Wellington Region
9163,Enspiral Academy Limited,174.7584644,-36.8673627,Auckland Region
9164,BMINZ Limited,176.1690493,-37.6868192,Bay of Plenty Region
9170,International Culinary Studio Limited,172.6553068,-43.3872367,Canterbury Region
9182,Practical Training Solutions Limited,175.303816,-37.7978328,Waikato Region
9185,The Mind Lab,174.7742784,-36.8675391,Auckland Region
9203,Sobieski Consultants Training Division,173.199415,-35.030639,Northland Region
9225,Master Drive Services Ltd,174.9132917,-41.2441537,Wellington Region
9230,Quality Education Services Limited,174.8692904,-36.9878518,Auckland Region
9231,Academy of Diving Trust,175.6227485,-40.3792498,Manawatu-Wanganui Region
